year,crime_id,ColumnName,Value
2016,11,_1Y_to_2Y,285
2016,11,_2Y_to_5Y,83
2016,11,_5Y_to_10Y,16
2016,11,_10Y_to_20Y,10
2016,11,over_20Y,7
2017,11,under_6M,175243
2017,11,_6M_to_1Y,414
2017,11,_1Y_to_2Y,253
2017,11,_2Y_to_5Y,78
2017,11,_5Y_to_10Y,16
2017,11,_10Y_to_20Y,18
2017,11,over_20Y,12
2018,11,under_6M,167933
2018,11,_6M_to_1Y,430
2018,11,_1Y_to_2Y,245
2018,11,_2Y_to_5Y,76
2018,11,_5Y_to_10Y,20
2018,11,_10Y_to_20Y,13
2018,11,over_20Y,3
2019,11,under_6M,172359
2019,11,_6M_to_1Y,398
2019,11,_1Y_to_2Y,222
2019,11,_2Y_to_5Y,64
2019,11,_5Y_to_10Y,19
2019,11,_10Y_to_20Y,7
2019,11,over_20Y,17
2020,11,under_6M,132791
2020,11,_6M_to_1Y,546
2020,11,_1Y_to_2Y,214
2020,11,_2Y_to_5Y,63
2020,11,_5Y_to_10Y,10
2020,11,_10Y_to_20Y,16
2020,11,over_20Y,12
2021,11,under_6M,137925
2021,11,_6M_to_1Y,381
2021,11,_1Y_to_2Y,335
2021,11,_2Y_to_5Y,88
2021,11,_5Y_to_10Y,38
2021,11,_10Y_to_20Y,15
2021,11,over_20Y,25
2014,14,under_6M,49660
2014,14,_6M_to_1Y,177
2014,14,_1Y_to_2Y,139
2014,14,_2Y_to_5Y,54
2014,14,_5Y_to_10Y,3
2014,14,_10Y_to_20Y,7
2014,14,over_20Y,0
2015,14,under_6M,51006
2015,14,_6M_to_1Y,211
2015,14,_1Y_to_2Y,120
2015,14,_2Y_to_5Y,45
2015,14,_5Y_to_10Y,7
2015,14,_10Y_to_20Y,7
2015,14,over_20Y,6
2016,14,under_6M,55459
2016,14,_6M_to_1Y,226
2016,14,_1Y_to_2Y,164
2016,14,_2Y_to_5Y,42
2016,14,_5Y_to_10Y,9
2016,14,_10Y_to_20Y,13
2016,14,over_20Y,0
2017,14,under_6M,51877
2017,14,_6M_to_1Y,232
2017,14,_1Y_to_2Y,145
2017,14,_2Y_to_5Y,39
2017,14,_5Y_to_10Y,15
2017,14,_10Y_to_20Y,9
2017,14,over_20Y,0
2018,14,under_6M,52839
2018,14,_6M_to_1Y,222
2018,14,_1Y_to_2Y,125
2018,14,_2Y_to_5Y,42
2018,14,_5Y_to_10Y,12
2018,14,_10Y_to_20Y,5
2018,14,over_20Y,5
2019,14,under_6M,57417
2019,14,_6M_to_1Y,231
2019,14,_1Y_to_2Y,144
2019,14,_2Y_to_5Y,53
2019,14,_5Y_to_10Y,16
2019,14,_10Y_to_20Y,3
2019,14,over_20Y,0
2020,14,under_6M,47541
2020,14,_6M_to_1Y,259
2020,14,_1Y_to_2Y,126
2020,14,_2Y_to_5Y,46
2020,14,_5Y_to_10Y,13
2020,14,_10Y_to_20Y,6
2020,14,over_20Y,3
2021,14,under_6M,49054
2021,14,_6M_to_1Y,273
2021,14,_1Y_to_2Y,180
2021,14,_2Y_to_5Y,66
2021,14,_5Y_to_10Y,22
2021,14,_10Y_to_20Y,8
2021,14,over_20Y,7
2014,15,under_6M,479681
2014,15,_6M_to_1Y,2569
2014,15,_1Y_to_2Y,1507
2014,15,_2Y_to_5Y,576
2014,15,_5Y_to_10Y,139
2014,15,_10Y_to_20Y,79
2014,15,over_20Y,10
2015,15,under_6M,503825
2015,15,_6M_to_1Y,2484
2015,15,_1Y_to_2Y,1609
2015,15,_2Y_to_5Y,630
2015,15,_5Y_to_10Y,150
2015,15,_10Y_to_20Y,63
2015,15,over_20Y,11
2016,15,under_6M,531226
2016,15,_6M_to_1Y,2752
2016,15,_1Y_to_2Y,1662
2016,15,_2Y_to_5Y,608
2016,15,_5Y_to_10Y,158
2016,15,_10Y_to_20Y,71
2016,15,over_20Y,19
2017,15,under_6M,504011
2017,15,_6M_to_1Y,2853
2017,15,_1Y_to_2Y,1527
2017,15,_2Y_to_5Y,839
2017,15,_5Y_to_10Y,153
2017,15,_10Y_to_20Y,93
2017,15,over_20Y,18
2018,15,under_6M,531734
2018,15,_6M_to_1Y,2627
2018,15,_1Y_to_2Y,1480
2018,15,_2Y_to_5Y,593
2018,15,_5Y_to_10Y,149
2018,15,_10Y_to_20Y,63
2018,15,over_20Y,16
2019,15,under_6M,563530
2019,15,_6M_to_1Y,2578
2019,15,_1Y_to_2Y,1393
2019,15,_2Y_to_5Y,603
2019,15,_5Y_to_10Y,173
2019,15,_10Y_to_20Y,61
2019,15,over_20Y,28
2020,15,under_6M,431509
2020,15,_6M_to_1Y,2422
2020,15,_1Y_to_2Y,1152
2020,15,_2Y_to_5Y,513
2020,15,_5Y_to_10Y,160
2020,15,_10Y_to_20Y,90
2020,15,over_20Y,62
2021,15,under_6M,437309
2021,15,_6M_to_1Y,1960
2021,15,_1Y_to_2Y,1413
2021,15,_2Y_to_5Y,569
2021,15,_5Y_to_10Y,196
2021,15,_10Y_to_20Y,104
2021,15,over_20Y,76
