year,gender,crime_id,AgeGroup,Count
2016,female,9,18-24 years,319
2017,female,9,18-24 years,285
2018,female,9,18-24 years,279
2019,female,9,18-24 years,328
2020,female,9,18-24 years,240
2021,female,9,18-24 years,193
2010,male,5,25-34 years,205
2011,male,5,25-34 years,233
2012,male,5,25-34 years,285
2013,male,5,25-34 years,273
2014,male,5,25-34 years,330
2015,male,5,25-34 years,309
2016,male,5,25-34 years,369
2017,male,5,25-34 years,394
2018,male,5,25-34 years,399
2019,male,5,25-34 years,410
2020,male,5,25-34 years,481
2021,male,5,25-34 years,523
2010,female,5,25-34 years,1946
2011,female,5,25-34 years,2058
2012,female,5,25-34 years,2056
2013,female,5,25-34 years,2206
2014,female,5,25-34 years,2272
2015,female,5,25-34 years,2414
2016,female,5,25-34 years,2710
2017,female,5,25-34 years,3124
2018,female,5,25-34 years,3211
2019,female,5,25-34 years,3477
2020,female,5,25-34 years,3360
2021,female,5,25-34 years,3908
2010,male,7,25-34 years,2107
2011,male,7,25-34 years,2039
2012,male,7,25-34 years,1899
2013,male,7,25-34 years,1734
2014,male,7,25-34 years,1456
2015,male,7,25-34 years,1403
2016,male,7,25-34 years,1415
2017,male,7,25-34 years,1403
2018,male,7,25-34 years,1441
2019,male,7,25-34 years,1709
2020,male,7,25-34 years,1354
2021,male,7,25-34 years,1247
2010,female,7,25-34 years,678
2011,female,7,25-34 years,722
2012,female,7,25-34 years,681
2013,female,7,25-34 years,670
2014,female,7,25-34 years,470
2015,female,7,25-34 years,483
2016,female,7,25-34 years,505
2017,female,7,25-34 years,503
2018,female,7,25-34 years,530
2019,female,7,25-34 years,550
2020,female,7,25-34 years,427
2021,female,7,25-34 years,461
2010,male,8,25-34 years,757
2011,male,8,25-34 years,844
2012,male,8,25-34 years,875
2013,male,8,25-34 years,787
2014,male,8,25-34 years,718
2015,male,8,25-34 years,713
2016,male,8,25-34 years,798
2017,male,8,25-34 years,749
2018,male,8,25-34 years,720
2019,male,8,25-34 years,898
2020,male,8,25-34 years,755
2021,male,8,25-34 years,661
2010,female,8,25-34 years,233
2011,female,8,25-34 years,219
2012,female,8,25-34 years,227
2013,female,8,25-34 years,229
2014,female,8,25-34 years,179
2015,female,8,25-34 years,206
2016,female,8,25-34 years,189
2017,female,8,25-34 years,206
2018,female,8,25-34 years,203
2019,female,8,25-34 years,248
2020,female,8,25-34 years,198
2021,female,8,25-34 years,178
2010,male,9,25-34 years,1351
2011,male,9,25-34 years,1195
2012,male,9,25-34 years,1019
2013,male,9,25-34 years,952
2014,male,9,25-34 years,735
2015,male,9,25-34 years,694
2016,male,9,25-34 years,619
2017,male,9,25-34 years,655
2018,male,9,25-34 years,723
2019,male,9,25-34 years,810
2020,male,9,25-34 years,604
2021,male,9,25-34 years,587
2010,female,9,25-34 years,438
2011,female,9,25-34 years,497
2012,female,9,25-34 years,457
