year,state,crime,count
1995,VIC,Murder,61
1995,VIC,Attempted_murder,45
1995,VIC,Manslaughter,7
1995,VIC,Assault,20048.51563
1995,VIC,Sexual_assault,2802
1995,VIC,Kidnapping_abduction,98
1995,VIC,Robbery,1704
1995,VIC,Armed_robbery,757
1995,VIC,Unarmed_robbery,947
1995,VIC,Blackmail_extortion,55
1995,VIC,Unlawful_entry_with_intent,70921
1995,VIC,Involving_the_taking_of_property,56168
1995,VIC,Other_unlawful_entry,14757
1995,VIC,Motor_vehicle_theft,29262
1995,VIC,Other_theft,111694
1996,VIC,Homicide_and_related_offences,89
1996,VIC,Murder,49
1996,VIC,Attempted_murder,35
1996,VIC,Manslaughter,3
1996,VIC,Assault,20048.51563
1996,VIC,Sexual_assault,2810
1996,VIC,Kidnapping_abduction,97
1996,VIC,Robbery,1913
1996,VIC,Armed_robbery,845
1996,VIC,Unarmed_robbery,1064
1996,VIC,Blackmail_extortion,84
1996,VIC,Unlawful_entry_with_intent,70751
1996,VIC,Involving_the_taking_of_property,54939
1996,VIC,Other_unlawful_entry,15819
1996,VIC,Motor_vehicle_theft,28765
1996,VIC,Other_theft,119573
1997,VIC,Homicide_and_related_offences,112
1997,VIC,Murder,61
1997,VIC,Attempted_murder,41
1997,VIC,Manslaughter,3
1997,VIC,Assault,20048.51563
1997,VIC,Sexual_assault,3005
1997,VIC,Kidnapping_abduction,97
1997,VIC,Robbery,2491
1997,VIC,Armed_robbery,1198
1997,VIC,Unarmed_robbery,1293
1997,VIC,Blackmail_extortion,129
1997,VIC,Unlawful_entry_with_intent,74147
1997,VIC,Involving_the_taking_of_property,57386
1997,VIC,Other_unlawful_entry,16765
1997,VIC,Motor_vehicle_theft,30450
1997,VIC,Other_theft,119868
1998,VIC,Homicide_and_related_offences,104
1998,VIC,Murder,44
1998,VIC,Attempted_murder,50
1998,VIC,Manslaughter,0
1998,VIC,Assault,20048.51563
1998,VIC,Sexual_assault,3321
1998,VIC,Kidnapping_abduction,113
1998,VIC,Robbery,2997
1998,VIC,Armed_robbery,1552
1998,VIC,Unarmed_robbery,1441
1998,VIC,Blackmail_extortion,90
1998,VIC,Unlawful_entry_with_intent,70592
1998,VIC,Involving_the_taking_of_property,54882
1998,VIC,Other_unlawful_entry,15705
1998,VIC,Motor_vehicle_theft,29560
1998,VIC,Other_theft,125567
1999,VIC,Homicide_and_related_offences,122
1999,VIC,Murder,59
1999,VIC,Attempted_murder,58
1999,VIC,Manslaughter,7
1999,VIC,Assault,20048.51563
1999,VIC,Sexual_assault,3398
1999,VIC,Kidnapping_abduction,123
1999,VIC,Robbery,3407
1999,VIC,Armed_robbery,1883
1999,VIC,Unarmed_robbery,1526
1999,VIC,Blackmail_extortion,79
1999,VIC,Unlawful_entry_with_intent,76302
1999,VIC,Involving_the_taking_of_property,60475
1999,VIC,Other_unlawful_entry,15826
1999,VIC,Motor_vehicle_theft,31877
1999,VIC,Other_theft,135381
2000,VIC,Homicide_and_related_offences,117
2000,VIC,Murder,53
2000,VIC,Attempted_murder,50
2000,VIC,Manslaughter,10
2000,VIC,Assault,20048.51563
2000,VIC,Sexual_assault,3154
2000,VIC,Kidnapping_abduction,111
2000,VIC,Robbery,3355
2000,VIC,Armed_robbery,1793
2000,VIC,Unarmed_robbery,1562
2000,VIC,Blackmail_extortion,76
2000,VIC,Unlawful_entry_with_intent,78902
2000,VIC,Involving_the_taking_of_property,62698
2000,VIC,Other_unlawful_entry,16200
2000,VIC,Motor_vehicle_theft,36489
2000,VIC,Other_theft,147682
2001,VIC,Homicide_and_related_offences,110
2001,VIC,Murder,64
2001,VIC,Attempted_murder,49
2001,VIC,Manslaughter,0
2001,VIC,Assault,20048.51563
2001,VIC,Sexual_assault,3288
2001,VIC,Kidnapping_abduction,116
2001,VIC,Robbery,4539
2001,VIC,Armed_robbery,2605
2001,VIC,Unarmed_robbery,1930
2001,VIC,Blackmail_extortion,112
2001,VIC,Unlawful_entry_with_intent,81119
2001,VIC,Involving_the_taking_of_property,62904
2001,VIC,Other_unlawful_entry,18215
2001,VIC,Motor_vehicle_theft,39352
2001,VIC,Other_theft,151047
2002,VIC,Homicide_and_related_offences,128
2002,VIC,Murder,65
2002,VIC,Attempted_murder,51
2002,VIC,Manslaughter,3
2002,VIC,Assault,20048.51563
2002,VIC,Sexual_assault,3427
2002,VIC,Kidnapping_abduction,105
2002,VIC,Robbery,3200
2002,VIC,Armed_robbery,1586
2002,VIC,Unarmed_robbery,1619
2002,VIC,Blackmail_extortion,124
2002,VIC,Unlawful_entry_with_intent,71176
2002,VIC,Involving_the_taking_of_property,53626
2002,VIC,Other_unlawful_entry,17543
2002,VIC,Motor_vehicle_theft,28886
2002,VIC,Other_theft,142574
2003,VIC,Homicide_and_related_offences,123
2003,VIC,Murder,70
2003,VIC,Attempted_murder,55
2003,VIC,Manslaughter,3
2003,VIC,Assault,20048.51563
2003,VIC,Sexual_assault,3437
2003,VIC,Kidnapping_abduction,96
2003,VIC,Robbery,2902
2003,VIC,Armed_robbery,1429
2003,VIC,Unarmed_robbery,1469
2003,VIC,Blackmail_extortion,111
2003,VIC,Unlawful_entry_with_intent,60699
2003,VIC,Involving_the_taking_of_property,45863
2003,VIC,Other_unlawful_entry,14829
2003,VIC,Motor_vehicle_theft,23867
2003,VIC,Other_theft,136871
2004,VIC,Homicide_and_related_offences,102
2004,VIC,Murder,44
2004,VIC,Attempted_murder,49
2004,VIC,Manslaughter,6
2004,VIC,Assault,20048.51563
2004,VIC,Sexual_assault,3540
2004,VIC,Kidnapping_abduction,111
2004,VIC,Robbery,2296
2004,VIC,Armed_robbery,1114
2004,VIC,Unarmed_robbery,1177
2004,VIC,Blackmail_extortion,95
2004,VIC,Unlawful_entry_with_intent,56138
2004,VIC,Involving_the_taking_of_property,41977
2004,VIC,Other_unlawful_entry,14158
2004,VIC,Motor_vehicle_theft,20102
2004,VIC,Other_theft,120624
2005,VIC,Homicide_and_related_offences,115
2005,VIC,Murder,60
2005,VIC,Attempted_murder,53
2005,VIC,Manslaughter,3
2005,VIC,Assault,20048.51563
2005,VIC,Sexual_assault,3535
2005,VIC,Kidnapping_abduction,124
2005,VIC,Robbery,2479
2005,VIC,Armed_robbery,1234
2005,VIC,Unarmed_robbery,1245
2005,VIC,Blackmail_extortion,100
2005,VIC,Unlawful_entry_with_intent,52010
2005,VIC,Involving_the_taking_of_property,37226
2005,VIC,Other_unlawful_entry,14788
2005,VIC,Motor_vehicle_theft,18895
2005,VIC,Other_theft,117036
2006,VIC,Homicide_and_related_offences,116
2006,VIC,Murder,63
2006,VIC,Attempted_murder,47
2006,VIC,Manslaughter,9
2006,VIC,Assault,20048.51563
2006,VIC,Sexual_assault,4103
2006,VIC,Kidnapping_abduction,97
2006,VIC,Robbery,2641
2006,VIC,Armed_robbery,1376
2006,VIC,Unarmed_robbery,1265
2006,VIC,Blackmail_extortion,123
2006,VIC,Unlawful_entry_with_intent,47933
2006,VIC,Involving_the_taking_of_property,33446
2006,VIC,Other_unlawful_entry,14489
2006,VIC,Motor_vehicle_theft,17049
2006,VIC,Other_theft,115599
2007,VIC,Homicide_and_related_offences,103
2007,VIC,Murder,50
2007,VIC,Attempted_murder,49
2007,VIC,Manslaughter,4
2007,VIC,Assault,20048.51563
2007,VIC,Sexual_assault,4261
2007,VIC,Kidnapping_abduction,105
2007,VIC,Robbery,3201
2007,VIC,Armed_robbery,1505
2007,VIC,Unarmed_robbery,1697
2007,VIC,Blackmail_extortion,127
2007,VIC,Unlawful_entry_with_intent,49555
2007,VIC,Involving_the_taking_of_property,34620
2007,VIC,Other_unlawful_entry,14931
2007,VIC,Motor_vehicle_theft,16226
2007,VIC,Other_theft,112673
2008,VIC,Homicide_and_related_offences,109
2008,VIC,Murder,56
2008,VIC,Attempted_murder,40
2008,VIC,Manslaughter,7
2008,VIC,Assault,20048.51563
2008,VIC,Sexual_assault,4193
2008,VIC,Kidnapping_abduction,91
2008,VIC,Robbery,3267
2008,VIC,Armed_robbery,1616
2008,VIC,Unarmed_robbery,1651
2008,VIC,Blackmail_extortion,118
2008,VIC,Unlawful_entry_with_intent,49587
2008,VIC,Involving_the_taking_of_property,34891
2008,VIC,Other_unlawful_entry,14699
2008,VIC,Motor_vehicle_theft,15896
2008,VIC,Other_theft,123989
2009,VIC,Homicide_and_related_offences,124
2009,VIC,Murder,48
2009,VIC,Attempted_murder,60
2009,VIC,Manslaughter,9
2009,VIC,Assault,20048.51563
2009,VIC,Sexual_assault,3435
2009,VIC,Kidnapping_abduction,65
2009,VIC,Robbery,3098
2009,VIC,Armed_robbery,1482
2009,VIC,Unarmed_robbery,1611
2009,VIC,Blackmail_extortion,239
2009,VIC,Unlawful_entry_with_intent,45190
2009,VIC,Involving_the_taking_of_property,31707
2009,VIC,Other_unlawful_entry,13484
2009,VIC,Motor_vehicle_theft,13268
2009,VIC,Other_theft,115453
2010,VIC,Homicide_and_related_offences,99
2010,VIC,Murder,47
2010,VIC,Attempted_murder,49
2010,VIC,Manslaughter,3
2010,VIC,Assault,20048.51563
2010,VIC,Sexual_assault,3629
2010,VIC,Kidnapping_abduction,116
2010,VIC,Robbery,3015
2010,VIC,Armed_robbery,1438
2010,VIC,Unarmed_robbery,1574
2010,VIC,Blackmail_extortion,137
2010,VIC,Unlawful_entry_with_intent,44410
