year,crime id,Dwelling,Outbuilding or residential land,Educational,Transport(n),Open space,Street/footpath,Other community location(p),Administrative/professional,Retail,Recreational,Other(s)
2018,4,14.00,4.00,,,,14.00,0.00,,,,0.00
2019,4,22.00,0.00,,,,8.00,7.00,,,,7.00
2020,4,19.00,0.00,,,,19.00,7.00,,,,10.00
2021,4,20.00,0.00,,,,15.00,4.00,,,,3.00
2010,5,12023.00,304.00,679.00,627.00,580.00,1228.00,394.00,89.00,613.00,803.00,196.00
2011,5,11637.00,302.00,662.00,649.00,608.00,1261.00,349.00,94.00,601.00,794.00,198.00
2012,5,12079.00,240.00,710.00,643.00,650.00,1220.00,402.00,129.00,635.00,779.00,197.00
2013,5,12883.00,274.00,761.00,666.00,644.00,1241.00,463.00,121.00,651.00,760.00,207.00
2014,5,13674.00,250.00,836.00,663.00,428.00,1109.00,485.00,67.00,912.00,909.00,222.00
2015,5,13430.00,261.00,957.00,675.00,349.00,1036.00,605.00,112.00,966.00,817.00,254.00
2016,5,14683.00,271.00,1120.00,719.00,350.00,1100.00,719.00,98.00,978.00,934.00,267.00
2017,5,16255.00,284.00,1349.00,816.00,396.00,1188.00,924.00,119.00,1165.00,1068.00,270.00
2018,5,16405.00,257.00,1131.00,755.00,426.00,1120.00,857.00,170.00,1283.00,1093.00,296.00
2019,5,16804.00,208.00,1052.00,715.00,436.00,1165.00,853.00,140.00,1173.00,1001.00,318.00
2020,5,17497.00,246.00,1096.00,550.00,448.00,1022.00,834.00,136.00,1004.00,936.00,337.00
2021,5,20405.00,220.00,1489.00,643.00,567.00,1185.00,914.00,151.00,1287.00,1221.00,398.00
2010,6,170.00,12.00,15.00,29.00,5.00,277.00,,,37.00,39.00,
2011,6,227.00,10.00,13.00,24.00,13.00,306.00,,,31.00,25.00,
2012,6,238.00,8.00,18.00,14.00,20.00,246.00,,,32.00,30.00,
2013,6,189.00,6.00,13.00,33.00,9.00,253.00,,,32.00,18.00,
2014,6,223.00,10.00,16.00,29.00,16.00,182.00,,,33.00,22.00,
2015,6,231.00,14.00,8.00,19.00,11.00,172.00,,,20.00,19.00,
2016,6,251.00,10.00,13.00,15.00,14.00,148.00,,,39.00,10.00,
2017,6,261.00,8.00,9.00,20.00,4.00,113.00,,,26.00,20.00,
2018,6,226.00,3.00,10.00,13.00,10.00,110.00,,,32.00,15.00,
2019,6,280.00,14.00,5.00,15.00,11.00,123.00,,,33.00,19.00,
2020,6,199.00,7.00,6.00,14.00,5.00,103.00,,,20.00,9.00,
2021,6,252.00,7.00,4.00,12.00,5.00,87.00,,,29.00,19.00,
2010,7,922.00,162.00,92.00,1318.00,316.00,6735.00,61.00,59.00,3364.00,1108.00,162.00
2011,7,920.00,168.00,69.00,1192.00,275.00,5896.00,63.00,79.00,3536.00,977.00,170.00
